//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Meisho Doto (IRE),#1548E5,,1996.3,,,,,,,,,,
N,T.M. Opera O (JPN),#1548E5,,1996.3,2018.5,,,,,,,,,
N,Narita Top Road (JPN),#1548E5,,1996.4,2005.11,,,,,,,,,
N,Air Shakur (JPN),#1548E5,,1997.2,2003.3,,,,,,,,,
N,Tap Dance City (USA),#1548E5,,1997.3,,,,,,,,,,
N,Agnes Digital (USA),#1548E5,,1997.5,2021.12,,,,,,,,,
N,Manhattan Cafe (JPN),#1548E5,,1998.3,2015.8,,,,,,,,,
N,Agnes Tachyon (JPN),#1548E5,,1998.4,2009.6,,,,,,,,,
N,Believe (JPN),#E515A8,,1998.4,,,,,,,,,,
N,Dantsu Flame (JPN),#1548E5,,1998.4,2005.8,,,,,,,,,
N,Jungle Pocket (JPN),#1548E5,,1998.5,2021.3,,,,,,,,,
N,Calstone Light O (JPN),#1548E5,,1998.5,2024.2,,,,,,,,,
N,Symboli Kris S (USA),#1548E5,,1999.1,2020.12,,,,,,,,,
N,Fine Motion (IRE),#E515A8,,1999.1,,,,,,,,,,
N,Hishi Miracle (JPN),#1548E5,,1999.3,,,,,,,,,,
N,Durandal (JPN),#1548E5,,1999.5,2013.7,,,,,,,,,
N,Tanino Gimlet (JPN),#1548E5,,1999.5,,,,,,,,,,
N,No Reason (JPN),#1548E5,,1999.6,2024.5,,,,,,,,,
N,Zenno Rob Roy (JPN),#1548E5,,2000.3,2022.9,,,,,,,,,
N,Neo Universe (JPN),#1548E5,,2000.5,2021.3,,,,,,,,,
N,Still in Love (JPN),#E515A8,,2000.5,2007.8,,,,,,,,,
N,Sweep Tosho (JPN),#E515A8,,2001.5,2020.12,,,,,,,,,
N,Air Messiah (JPN),#E515A8,,2002.2,2014.9,,,,,,,,,
N,Cesario (JPN),#E515A8,,2002.3,2021.2,,,,,,,,,
N,Daring Heart (JPN),#E515A8,,2002.3,,,,,,,,,,
N,Rhein Kraft (JPN),#E515A8,,2002.4,2006.8,,,,,,,,,
N,Fusaichi Pandora (JPN),#E515A8,,2003.2,2017.11,,,,,,,,,
N,Kawakami Princess (JPN),#E515A8,,2003.6,2023.9,,,,,,,,,
N,Dream Journey (JPN),#1548E5,,2004.2,,,,,,,,,,
N,Aston Machan (JPN),#E515A8,,2004.3,2008.4,,,,,,,,,
N,Vodka (JPN),#E515A8,,2004.4,2019.4,,,,,,,,,
N,Daiwa Scarlet (JPN),#E515A8,,2004.5,,,,,,,,,,
N,Furioso (JPN),#1548E5,,2004.5,,,,,,,,,,
N,Espoir City (JPN),#1548E5,,2005.4,,,,,,,,,,
N,Smart Falcon (JPN),#1548E5,,2005.4,,,,,,,,,,
N,Buena Vista (JPN),#E515A8,,2006.3,,,,,,,,,,
N,Wonder Acute (JPN),#1548E5,,2006.3,,,,,,,,,,
N,Transcend (JPN),#1548E5,,2006.3,,,,,,,,,,
N,Nakayama Festa (JPN),#1548E5,,2006.4,,,,,,,,,,
N,Tosen Jordan (JPN),#1548E5,,2006.4,,,,,,,,,,
N,Eishin Flash (JPN),#1548E5,,2007.3,,,,,,,,,,
N,Curren Chan (JPN),#E515A8,,2007.3,,,,,,,,,,
N,Win Variation (JPN),#1548E5,,2008.4,,,,,,,,,,
N,Orfevre (JPN),#1548E5,,2008.5,,,,,,,,,,
N,Gentildonna (JPN),#E515A8,,2009.2,,,,,,,,,,
N,Gold Ship (JPN),#1548E5,,2009.3,,,,,,,,,,
N,Verxina (JPN),#E515A8,,2009.3,,,,,,,,,,
N,Fenomeno (JPN),#1548E5,,2009.4,,,,,,,,,,
N,Hokko Tarumae (JPN),#1548E5,,2009.5,,,,,,,,,,
N,Copano Rickey (JPN),#1548E5,,2010.3,,,,,,,,,,
N,Sounds of Earth (JPN),#1548E5,,2011.4,2023.2,,,,,,,,,
N,Kitasan Black (JPN),#1548E5,,2012.3,,,,,,,,,,
N,Cheval Grand (JPN),#1548E5,,2012.3,,,,,,,,,,
N,Duramente (JPN),#1548E5,,2012.3,2021.8,,,,,,,,,
N,Satono Crown (JPN),#1548E5,,2012.3,,,,,,,,,,
N,Satono Diamond (JPN),#1548E5,,2013.1,,,,,,,,,,
N,Vivlos (JPN),#E515A8,,2013.4,,,,,,,,,,
N,Almond Eye (JPN),#E515A8,,2015.3,,,,,,,,,,
N,Lucky Lilac (JPN),#E515A8,,2015.4,,,,,,,,,,
N,Blast Onepiece (JPN),#1548E5,,2015.4,,,,,,,,,,
N,Gran Alegria(JPN),#E515A8,,2016.1,,,,,,,,,,
N,Loves Only You (JPN),#E515A8,,2016.3,,,,,,,,,,
N,Chrono Genesis (JPN),#E515A8,,2016.3,,,,,,,,,,
N,Curren Bouquetd`or (JPN),#E515A8,,2016.4,,,,,,,,,,
N,Daring Tact (JPN),#E515A8,,2017.4,,,,,,,,,,
,,,,,,,,,,,,,,
#,Connectors,,,,,,,,,,,,,
#,Leaving 'To When' empty will result in using 'From When' as this value,,,,,,,,,,,,,
#,From When,From,To When,To,Thickness,Color,,,,,,,,
,,,,,,,,,,,,,,
#,Domains,,,,,,,,,,,,,
#,Node,Color,Intensity,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Images,,,,,,,,,,,,,
#,File Path,x Position,y Position,,,,,,,,,,,
