//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Daring Tact (JPN),#E515A8,Epiphaneia (JPN),2017.4,,,,,,,,,,
N,Slightly Dangerous (USA),#E991CF,Roberto (USA),1979.1,1985.4,,,,,,,,,
N,Brian`s Time (USA),#A5D8EF,Roberto (USA),1985.5,2013.4,,,,,,,,,
N,Narita Brian (JPN),#1548E5,Brian`s Time (USA),1991.5,1998.9,,,,,,,,,
N,Mayano Top Gun (JPN),#1548E5,Brian`s Time (USA),1992.3,2019.11,,,,,,,,,
N,Dantsu Flame (JPN),#1548E5,Brian`s Time (USA),1998.4,2005.8,,,,,,,,,
N,Eminent City (JPN),#E991CF,Brian`s Time (USA),1998.5,2005.4,,,,,,,,,
N,Tanino Gimlet (JPN),#1548E5,Brian`s Time (USA),1999.5,,,,,,,,,,
N,Vodka (JPN),#E515A8,Tanino Gimlet (JPN),2004.4,2019.4,,,,,,,,,
N,No Reason (JPN),#1548E5,Brian`s Time (USA),1999.6,2024.5,,,,,,,,,
N,Furioso (JPN),#1548E5,Brian`s Time (USA),2004.5,,,,,,,,,,
N,Northern Dancer (CAN),#A5D8EF,,1961.5,1990.11,,,,,,,,,
N,Viceregal (CAN),#A5D8EF,Northern Dancer (CAN),1966.4,1984.4,,,,,,,,,
N,Gold City (JPN),#1548E5,Viceregal (CAN),1984.4,1990.5,,,,,,,,,
N,Nijinsky (CAN),#A5D8EF,Northern Dancer (CAN),1967.2,1992.4,,,,,,,,,
N,Maruzensky (JPN),#1548E5,Nijinsky (CAN),1974.5,1997.8,,,,,,,,,
N,Lilac Point(JPN),#E991CF,Maruzensky (JPN),1979.3,1989.3,,,,,,,,,
N,Powerful Lady (JPN),#E991CF,Maruzensky (JPN),1981.5,1990.3,,,,,,,,,
N,Reru du Temps(JPN),#E991CF,Maruzensky (JPN),1982.5,1994.4,,,,,,,,,
N,Kazumi Harukoma(JPN),#E991CF,Maruzensky (JPN),1984.4,1997.5,,,,,,,,,
N,Sakura Chiyono O (JPN),#1548E5,Maruzensky (JPN),1985.2,2012.1,,,,,,,,,
N,Campaign Girl (JPN),#E991CF,Maruzensky (JPN),1987.4,1995.5,,,,,,,,,
N,Lyphard (USA),#A5D8EF,Northern Dancer (CAN),1969.5,2005.6,,,,,,,,,
N,Lypheor(GB),#A5D8EF,Lyphard (USA),1975.4,1983.4,,,date deceased not found,1983.4,,,,,
N,Nippo Teio (JPN),#A5D8EF,Lypheor(GB),1983.4,2016.8,,,,,,,,,
N,Haru Urara (JPN),#E515A8,Nippo Teio (JPN),1996.2,,,,,,,,,,
N,Mogami (FR),#A5D8EF,Lyphard (USA),1976.5,1982.3,,,date deceased not found,1982.3,,,,,
N,Sirius Symboli (JPN),#1548E5,Mogami (FR),1982.3,2012.4,,,,,,,,,
N,Northern Taste (USA),#A5D8EF,Northern Dancer (CAN),1971.3,2004.12,,,,,,,,,
N,Amber Shadai (JPN),#A5D8EF,Northern Taste (USA),1977.3,1987.4,,,,,,,,,
N,Mejiro Ryan (JPN),#1548E5,Amber Shadai (JPN),1987.4,2016.3,,,,,,,,,
N,Mejiro Bright (JPN),#1548E5,Mejiro Ryan (JPN),1994.4,2004.5,,,,,,,,,
